industria_clean,sugerencia_top,score_top,cand_1,score_1,cand_2,score_2,cand_3,score_3,cand_4,score_4,cand_5,score_5
recaudacion de fondos,,,Consultoría de Gestión,46.51162790697674,Telecomunicaciones,46.15384615384615,Servicios y Tecnologías de la Información,41.935483870967744,Logística y Cadena de Suministro,41.509433962264154,Banca de Inversión,41.02564102564103
recoleccion transporte tratamiento y disposicion final de residuos no peligrosos,,,Servicios y Tecnologías de la Información,39.66942148760331,Logística y Cadena de Suministro,35.71428571428571,Hospitales y Atención Sanitaria,34.234234234234236,Desarrollo de Software,31.372549019607845,Servicios Profesionales,29.126213592233015
recoleccion transporte tratamiento y disposicion final de residuos peligrosos,,,Servicios y Tecnologías de la Información,40.67796610169491,Hospitales y Atención Sanitaria,35.18518518518519,Logística y Cadena de Suministro,34.862385321100916,Desarrollo de Software,32.32323232323232,Servicios Profesionales,30.0
recursos humanos,,,Reaseguros,53.84615384615385,Productos Farmacéuticos,46.15384615384615,Seguros,43.47826086956522,Educación Superior,41.1764705882353,Servicios Públicos,41.1764705882353
recursos naturales,,,Reaseguros,50.0,Servicios Profesionales,48.78048780487805,Productos Farmacéuticos,43.90243902439025,Consultoría de Gestión,40.0,Seguros,40.0
redaccion y edicion,,,Telecomunicaciones,48.648648648648646,"Sanidad, Bienestar y Ejercicio",44.89795918367347,Educación Superior,43.24324324324324,Servicios Públicos,43.24324324324324,Servicios Profesionales,42.857142857142854
refrigeracion industrial,,,"Sanidad, Bienestar y Ejercicio",48.148148148148145,Servicios Profesionales,46.808510638297875,Servicios Públicos,42.857142857142854,Venta Minorista,41.02564102564103,Consultoría de Gestión,39.130434782608695
region metropolitana chile,,,Hospitales y Atención Sanitaria,42.10526315789474,Venta Minorista,39.02439024390244,Servicios Profesionales,36.734693877551024,Banca de Inversión,36.36363636363637,Telecomunicaciones,36.36363636363637
relaciones gubernamentales,,,Servicios Profesionales,53.06122448979592,Telecomunicaciones,45.45454545454545,Servicios Públicos,40.90909090909091,Envases y Embalajes,40.0,"Sanidad, Bienestar y Ejercicio",39.285714285714285
religiosa,,,Seguros,50.0,Telecomunicaciones,44.44444444444444,Servicios Profesionales,43.75,Reaseguros,42.10526315789474,Marketing y Publicidad,38.70967741935484
